"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/atcoder/practice/beginner 430/B.cpp", "C++", 0, -21, -1, -5, -27
"/home/everlast1ng/code/atcoder/practice/beginner 430/C.cpp", "C++", 0, -50, -1, -7, -58
"/home/everlast1ng/code/atcoder/practice/beginner 430/D.cpp", "C++", 0, -21, -1, -5, -27
"/home/everlast1ng/code/atcoder/practice/beginner 430/E.cpp", "C++", 0, -21, -1, -5, -27
"/home/everlast1ng/code/atcoder/practice/beginner 430/F.cpp", "C++", 0, -21, -1, -5, -27
"/home/everlast1ng/code/c/c1/Hello World.c", "C", -6, 0, 0, -3, -9
"/home/everlast1ng/code/c/c1/Programing is fun..c", "C", -6, 0, 0, -3, -9
"/home/everlast1ng/code/c/c1/This is a C program.c", "C", -6, 0, 0, -3, -9
"/home/everlast1ng/code/c/c1/求2个整数的和.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c1/求2个整数的最大值.c", "C", -10, 0, 0, -6, -16
"/home/everlast1ng/code/c/c1/求圆的面积和周长.c", "C", -12, 0, 0, -6, -18
"/home/everlast1ng/code/c/c2/两小时学完C语言.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c2/中英长度单位换算.c", "C", -12, 0, 0, -9, -21
"/home/everlast1ng/code/c/c2/分糖果.c", "C", -20, 0, 0, -7, -27
"/home/everlast1ng/code/c/c2/后天.c", "C", -10, 0, 0, -7, -17
"/home/everlast1ng/code/c/c2/打妖怪.c", "C", -13, 0, 0, -8, -21
"/home/everlast1ng/code/c/c2/折扣.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c2/整数四则运算.c", "C", -11, 0, 0, -5, -16
"/home/everlast1ng/code/c/c2/标准体重和身高的对应关系.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c2/求整数均值.c", "C", -10, 0, 0, -6, -16
"/home/everlast1ng/code/c/c2/猫是液体.c", "C", -9, 0, 0, -5, -14
"/home/everlast1ng/code/c/c2/自由落体.c", "C", -13, 0, 0, -5, -18
"/home/everlast1ng/code/c/c2/计算图形面积.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c2/计算终止时间.c", "C", -32, 0, 0, -11, -43
"/home/everlast1ng/code/c/c2/输出四位整数的各位数字(简洁版）.c", "C", -12, 0, 0, -6, -18
"/home/everlast1ng/code/c/c2/输出四位整数的各位数字.c", "C", -12, 0, 0, -6, -18
"/home/everlast1ng/code/c/c3/字母对应的ASCII 码.c", "C", -8, 0, 0, -5, -13
"/home/everlast1ng/code/c/c3/定期存款.c", "C", -10, 0, 0, -7, -17
"/home/everlast1ng/code/c/c3/年增长率.c", "C", -11, 0, 0, -7, -18
"/home/everlast1ng/code/c/c3/快速求和.c", "C", -13, 0, 0, -7, -20
"/home/everlast1ng/code/c/c3/整数逆序.c", "C", -15, 0, 0, -6, -21
"/home/everlast1ng/code/c/c3/日期格式变化.c", "C", -8, 0, 0, -5, -13
"/home/everlast1ng/code/c/c3/水果店收款.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c3/求三角形面积.c", "C", -11, 0, 0, -7, -18
"/home/everlast1ng/code/c/c3/混合类型数据格式化输入.c", "C", -10, 0, 0, -5, -15
"/home/everlast1ng/code/c/c3/温度转换.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c3/计算圆的周长.c", "C", -10, 0, 0, -6, -16
"/home/everlast1ng/code/c/c3/计算房间面积.c", "C", -9, 0, 0, -6, -15
"/home/everlast1ng/code/c/c3/计算浮点数相除的余数.c", "C", -16, 0, 0, -8, -24
"/home/everlast1ng/code/c/c4/24小时时间记法转12小时时间记法.c", "C", -12, 0, 0, -5, -17
"/home/everlast1ng/code/c/c4/三个整数排序.c", "C", -32, 0, 0, -7, -39
"/home/everlast1ng/code/c/c4/三天打鱼两天晒网.c", "C", -17, 0, 0, -7, -24
"/home/everlast1ng/code/c/c4/判断水仙花数.c", "C", -28, 0, 0, -14, -42
"/home/everlast1ng/code/c/c4/学生成绩评定.c", "C", -14, 0, 0, -5, -19
"/home/everlast1ng/code/c/c4/找出3个整数居中的整数.c", "C", -24, 0, 0, -6, -30
"/home/everlast1ng/code/c/c4/按公式计算y和z的值.c", "C", -26, 0, 0, -6, -32
"/home/everlast1ng/code/c/c4/求月份对应的英文名称及天数.c", "C", -45, 0, 0, -17, -62
"/home/everlast1ng/code/c/c4/百分制分数转换为等级.c", "C", -27, 0, 0, -9, -36
"/home/everlast1ng/code/c/c4/能否构成三角形.c", "C", -12, 0, 0, -4, -16
"/home/everlast1ng/code/c/c4/计算奖金.c", "C", -22, 0, 0, -12, -34
"/home/everlast1ng/code/c/c4/闰年.c", "C", -25, 0, 0, -8, -33
"/home/everlast1ng/code/c/c5/A类数统计.c", "C", -27, 0, 0, -11, -38
"/home/everlast1ng/code/c/c5/n！.c", "C", -14, 0, 0, -6, -20
"/home/everlast1ng/code/c/c5/wust素数.c", "C", -26, 0, 0, -7, -33
"/home/everlast1ng/code/c/c5/“韩信点兵”数.c", "C", -27, 0, 0, -7, -34
"/home/everlast1ng/code/c/c5/不变初心数.c", "C", -50, 0, 0, -11, -61
"/home/everlast1ng/code/c/c5/亲和数判断.c", "C", -24, 0, 0, -7, -31
"/home/everlast1ng/code/c/c5/古角猜想.c", "C", -30, 0, 0, -5, -35
"/home/everlast1ng/code/c/c5/含数字5且是3的倍数1.c", "C", -35, 0, 0, -13, -48
"/home/everlast1ng/code/c/c5/大笨钟.c", "C", -16, 0, 0, -6, -22
"/home/everlast1ng/code/c/c5/守形数1.c", "C", -33, 0, 0, -6, -39
"/home/everlast1ng/code/c/c5/寻找250.c", "C", -16, 0, 0, -6, -22
"/home/everlast1ng/code/c/c5/小于m的最大的10个素数.c", "C", -31, 0, 0, -6, -37
"/home/everlast1ng/code/c/c5/小球自由落体.c", "C", -21, 0, 0, -8, -29
"/home/everlast1ng/code/c/c5/就不告诉你.c", "C", -21, 0, 0, -8, -29
"/home/everlast1ng/code/c/c5/念数字.c", "C", -58, 0, 0, -14, -72
"/home/everlast1ng/code/c/c5/打印九九口诀表.c", "C", -19, 0, 0, -6, -25
"/home/everlast1ng/code/c/c5/打印沙漏.c", "C", -58, 0, 0, -20, -78
"/home/everlast1ng/code/c/c5/找完数.c", "C", -66, 0, 0, -10, -76
"/home/everlast1ng/code/c/c5/换硬币.c", "C", -23, 0, 0, -6, -29
"/home/everlast1ng/code/c/c5/掉入陷阱的数字.c", "C", -44, 0, 0, -12, -56
"/home/everlast1ng/code/c/c5/整数的分类处理.c", "C", -52, 0, 0, -6, -58
"/home/everlast1ng/code/c/c5/整除光棍.c", "C", -22, 0, 0, -6, -28
"/home/everlast1ng/code/c/c5/整除光棍自设版.c", "C", -25, 0, 0, -9, -34
"/home/everlast1ng/code/c/c5/最佳情侣身高差.c", "C", -21, 0, 0, -6, -27
