Date : 2026-01-21 01:19:32
Directory : /home/everlasting/acm_training
Total : 184 files,  10791 codes, 101 comments, 873 blanks, all 11765 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        160 |      5,704 |        101 |        822 |      6,627 |
| Markdown |          8 |      5,093 |          0 |         52 |      5,145 |
| JSON     |          2 |          2 |          0 |          0 |          2 |
| PHP      |          1 |          1 |          0 |          0 |          1 |
| C        |         13 |         -9 |          0 |         -1 |        -10 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/everlasting/acm_training/niuke/牛客周赛/127/F.cpp                               | C++      |        103 |          0 |         10 |        113 |
| /home/everlasting/acm_training/niuke/牛客挑战赛/A.cpp                                  | C++      |         48 |          1 |          6 |         55 |
| /home/everlasting/acm_training/niuke/牛客挑战赛/B.cpp                                  | C++      |         44 |          1 |          6 |         51 |
| /home/everlasting/acm_training/niuke/练习赛/147/A.cpp                                | C++      |         30 |          1 |          4 |         35 |
| /home/everlasting/acm_training/niuke/练习赛/147/B.cpp                                | C++      |         40 |          1 |          7 |         48 |
| /home/everlasting/acm_training/niuke/练习赛/147/C.cpp                                | C++      |         48 |          2 |          9 |         59 |
| /home/everlasting/acm_training/test.cpp                                           | C++      |        -58 |          0 |        -12 |        -70 |
| /home/everlasting/acm_training/test2.cpp                                          | C++      |         19 |         -1 |        -11 |          7 |
| /home/everlasting/acm_training/实验课/求1-100的和.c                                     | C        |         -9 |          0 |         -1 |        -10 |
| /home/everlasting/acm_training/板子/BIT.cpp                                         | C++      |         77 |          1 |         18 |         96 |
| /home/everlasting/acm_training/板子/Catalan_number.cpp                              | C++      |         26 |          1 |          2 |         29 |
| /home/everlasting/acm_training/板子/DSU.cpp                                         | C++      |         54 |          1 |          9 |         64 |
| /home/everlasting/acm_training/板子/Discretization.cpp                              | C++      |         29 |          0 |          4 |         33 |
| /home/everlasting/acm_training/板子/Sparse_Table.cpp                                | C++      |         -1 |          0 |         -1 |         -2 |
| /home/everlasting/acm_training/板子/get_C(%mod).cpp                                 | C++      |         45 |          1 |          8 |         54 |
| /home/everlasting/acm_training/板子/get_C(Recursion).cpp                            | C++      |         30 |          1 |          5 |         36 |
| /home/everlasting/acm_training/板子/get_C.cpp                                       | C++      |        -43 |         -1 |        -10 |        -54 |
